id,title,author,publisher,publication_year,category,isbn,quantity
3399,Secrets on Fibonacci Trading,Frank Miller,JAI Press,2022    ,Economics and Business,978-1544607771,15
3400,Management Laureates,Arthur G. Bedeian,JAI Press,1992    ,Economics and Business,978-0892328475,11
3401,Onward,Howard Schultz,Rodale Books,2011    ,Economics and Business,978-1609613822,12
3402,Forest Service,United States. General Accounting Office,GAO,1988    ,Economics and Business,978-1428938922,16
3403,Entrepreneur Magazine,Entrepreneur Magazine,Entrepreneur Press,1995    ,Economics and Business,978-1599185125,4
3404,The fashion designer survival guide,Mary Gehlhar,Kaplan Publishing,2005    ,Economics and Business,978-1433650390,10
3405,Sales power,José Silva,Perigee Books,1992    ,Economics and Business,978-0399137457,11
3406,Dreaming in code,Scott Rosenberg,Crown,2007    ,Economics and Business,978-1400082476,19
3407,Guerrilla Marketing,Jay Conrad Levinson,Houghton Mifflin Harcourt,1984    ,Economics and Business,978-0395906255,20
3408,Reaching your potential,Robert K. Throop,Cengage Learning,1993    ,Economics and Business,978-1418048389,13
3409,Mary Erskine,Jacob Abbott,Harper & Brothers,1850    ,Economics and Business,978-1425530181,2
3410,Introductory statistics for business and economics,Thomas H. Wonnacott,John Wiley & Sons,1972    ,Economics and Business,978-0471615170,5
3411,Creative strategy in advertising,A. Jerome Jewler,Wadsworth Publishing,1981    ,Economics and Business,978-1111344429,16
3412,Valuation,Thomas E. Copeland,John Wiley & Sons,1990    ,Economics and Business,978-0471004936,13
3413,Interpersonal skills in organizations,Suzanne C. De Janasz,McGraw-Hill Education,2001    ,Economics and Business,978-0078112805,13
3414,Success for dummies,Zig Ziglar,For Dummies,1998    ,Economics and Business,978-0764550614,10
3415,The war on normal people,Andrew Yang,Hachette Books,2018    ,Economics and Business,978-0316414241,2
3416,The Quants,Scott Patterson,Crown Business,2000    ,Economics and Business,978-0307453389,18
3417,Conversational intelligence,Judith E. Glaser,Bibliomotion,2014    ,Economics and Business,978-1937134303,6
3418,Business Logistics Management,Wessel Pienaar,Oxford University Press,2012    ,Economics and Business,978-0195988536,16
3419,IBM PC Apprentice,Inc. Wordware Pub.,Prentice-Hall,1984    ,Economics and Business,978-0134484082,1
3420,Las armas secretas,Julio Cortázar,Editorial Sudamericana,1963    ,Economics and Business,978-8420404097,15
3421,Influencer,Kerry Patterson,McGraw-Hill Education,2007    ,Economics and Business,978-0071484992,19
3422,The story of stuff,Annie Leonard,Free Press,2010    ,Economics and Business,978-1451610291,17
3423,Zivilgesetzbuch,Switzerland.,Stämpfli,1900    ,Economics and Business,978-3725555772,11
3424,American public policy,B. Guy Peters,CQ Press,1982    ,Economics and Business,978-1483344645,16
3425,The Copywriter's Handbook,Robert W. Bly,Henry Holt and Co.,2007    ,Economics and Business,978-0805011944,9
3426,Stone age economics,Marshall Sahlins,Routledge,1972    ,Economics and Business,978-0415320108,9
3427,"Loonshots: How to Nurture the Crazy Ideas That Win Wars, Cure Diseases, and Transform Industries",Safi Bahcall,St. Martin's Press,2019    ,Economics and Business,978-1250260659,19
3428,How to Decide,Annie Duke,Portfolio,2020    ,Economics and Business,978-0593418482,20
3429,Who Owns the Ice House?,Clifton L. Taulbert,Eli Mindset,2011    ,Economics and Business,978-0983354109,17
3430,Swim with the sharks without being eaten alive,Harvey Mackay,William Morrow,1988    ,Economics and Business,978-0449214336,13
3431,Applied numerical methods for engineers and scientists,"Rao, S. S.",John Wiley & Sons,2002    ,Economics and Business,978-0471120230,9
3432,Transformation leadership,Bernard M. Bass,Lawrence Erlbaum,2005    ,Economics and Business,978-0805816914,9
3433,The Peter principle,Laurence J. Peter,William Morrow,1969    ,Economics and Business,978-0062092540,19
3434,Military Inc,Ayesha Siddiqa,Pluto Press,2007    ,Economics and Business,978-0745325453,2
3435,Chasing the dime,Michael Connelly,"Little, Brown and Co.",2002    ,Economics and Business,978-0316153911,1
3436,Research in Personnel and Human Resources Management,M. Ronald Buckley,Emerald Publishing,2014    ,Economics and Business,978-1785603419,3
3437,Indian economy,A. N. Agrawal,New Age International,1975    ,Economics and Business,978-8122436150,13
3438,Food safety,United States. General Accounting Office,GAO,1990    ,Economics and Business,978-1428931114,4
3439,The Rise and Decline of Nations,Mancur Olson,Yale University Press,1982    ,Economics and Business,978-0300030792,19
3440,Obligationenrecht (1911),Switzerland.,Schulthess,1928    ,Economics and Business,978-3859023055,6
3441,Russian negotiating behavior,Jerrold L. Schecter,US Institute of Peace,1998    ,Economics and Business,978-1878379788,11
3442,Selling today,Gerald L. Manning,Pearson,1980    ,Economics and Business,978-0133543353,8
3443,Understanding business,William G. Nickels,McGraw-Hill Education,1987    ,Economics and Business,978-0073524597,16
3444,Growth hacker marketing,Ryan Holiday,Portfolio,2014    ,Economics and Business,978-1591847380,13
3445,Introduction to Black studies,Karenga Maulana.,University of Sankore,1982    ,Economics and Business,978-0943412238,19
3446,Seeing the big picture,Kevin Cope,Greenleaf Book Group,2012    ,Economics and Business,978-1608322466,11
3447,The Good Housekeeping Housekeeping Book,"Good Housekeeping Institute (New York, N.Y.)",Hearst Books,1947    ,Economics and Business,978-1588165015,4
3448,Belle De Jour,Brooke Magnanti,Weidenfeld & Nicolson,2005    ,Economics and Business,978-0753821046,15
3449,Baby Steps Millionaires,Dave Ramsey,Ramsey Press,2022    ,Economics and Business,978-1937077976,3
3450,Plants and society,Estelle Levetin,McGraw-Hill Education,1996    ,Economics and Business,978-0078128998,2
3451,The National Trust Manual of Housekeeping,National Trust,Butterworth-Heinemann,2005    ,Economics and Business,978-0750661249,12
3452,Maximum Achievement,Brian Tracy,Simon & Schuster,1993    ,Economics and Business,978-0671865184,15
3453,After the trade is made,"Weiss, David M.",New York Inst. of Finance,1986    ,Economics and Business,978-1591841319,17
3454,Communication skills,Richard Worth,Ferguson Publishing,2009    ,Economics and Business,978-0816054176,16
3455,Overdressed,Elizabeth L. Cline,Portfolio,2012    ,Economics and Business,978-1591846543,13
3456,Patterns,IBM Redbooks,IBM,2002    ,Economics and Business,978-0738411088,12
3457,BOLD,Peter H. Diamandis,Simon & Schuster,1905    ,Economics and Business,978-1476709567,9
3458,"Henry Reed, Inc",Keith Robertson,Puffin Books,1958    ,Economics and Business,978-0140341393,8
3459,Tax Planning and Compliance for Tax-Exempt Organizations,Jody Blazek,John Wiley & Sons,1993    ,Economics and Business,978-1118105740,7
3460,Discovering great artists,MaryAnn F Kohl,Bright Ring Publishing,1996    ,Economics and Business,978-0935607093,11
3461,Lessons from Madame Chic,Jennifer L. Scott,Simon & Schuster,2011    ,Economics and Business,978-1451699197,18
3462,"Ethics, law and society",Jennifer Gunning,Ashgate,2007    ,Economics and Business,978-0754645832,3
3463,Economical writing,Deirdre N. McCloskey,University of Chicago,2000    ,Economics and Business,978-0226556918,2
3464,The economics of the welfare state,"Barr, N. A.",Oxford University Press,1987    ,Economics and Business,978-0199297870,10
3465,A History of Soviet Russia,Edward Hallet Carr,Macmillan,1950    ,Economics and Business,978-0333242162,12
3466,Practical Analytics,Nitin Kale,Epistemy Press,2020    ,Economics and Business,978-0997209211,17
3467,Contemporary financial management,R. Charles Moyer,Cengage Learning,1981    ,Economics and Business,978-1285198842,20
3468,The Third World,E. Willard Miller,ABC-CLIO,1981    ,Economics and Business,978-0874360097,11
3469,Preparing Effective Business Plans,Bruce R. Barringer,Pearson,2008    ,Economics and Business,978-0133506976,10
3470,"The town labourer, 1760-1832",John Lawrence Le Breton Hammond,"Longmans, Green & Co.",1917    ,Economics and Business,978-0582483163,9
3471,Beyond design,Sandra J. Keiser,Fairchild Books,2003    ,Economics and Business,978-1609012267,6
3472,Successful project management,Jack Gido,Cengage Learning,1999    ,Economics and Business,978-1285068374,16
3473,The personal efficiency program,Kerry Gleeson,John Wiley & Sons,1994    ,Economics and Business,978-0471131151,10
3474,A short history of financial euphoria,John Kenneth Galbraith,Penguin Books,1990    ,Economics and Business,978-0670850280,19
3475,Smart Money Woman,Arese Ugwu,Smart Money Africa,2016    ,Economics and Business,978-1533554444,17
3476,The sciences of the artificial,Herbert Alexander Simon,MIT Press,1969    ,Economics and Business,978-0262691918,7
3477,How Google Works,Eric Schmidt,Grand Central Publishing,2014    ,Economics and Business,978-1455582341,11
3478,The Gothic cathedral,Otto Georg von Simson,Princeton University Press,1956    ,Economics and Business,978-0691018676,5
3479,What to Say When. . .You're Dying on the Platform,Lilly Walters,McGraw-Hill Education,1995    ,Economics and Business,978-0071353274,14
3480,"Cadono notizie da urlo, Stiltont!",Elisabetta Dami,Edizioni Piemme,2013    ,Economics and Business,978-8856614145,17
3481,The Attractor Factor,Joe Vitale,John Wiley & Sons,2005    ,Economics and Business,978-0471706045,12
3482,"Catherine, Amanda and Lilah",Nora Roberts,Silhouette,2004    ,Economics and Business,978-0373079865,9
3483,Source Code,Bill Gates,Penguin Press,2025    ,Economics and Business,978-0593452042,11
3484,Service management and marketing,Christian Grönroos,John Wiley & Sons,1990    ,Economics and Business,978-0470028650,12
3485,48-Hour Start-up,Fraser Doherty MBE,HarperCollins,2016    ,Economics and Business,978-1119280668,20
3486,Federal research,United States. General Accounting Office,GAO,1989    ,Economics and Business,978-1428931121,18
3487,The honest truth about dishonesty,Dan Ariely,Harper Business,2012    ,Economics and Business,978-0062183590,5
3488,The conditions of agricultural growth,Ester Boserup,Allen & Unwin,1965    ,Economics and Business,978-0202308937,15
3489,Managerial finance,J. Fred Weston,Dryden Press,1962    ,Economics and Business,978-0030589836,12
3490,The art of homemaking,Daryl V. Hoole,Deseret Book Co,1963    ,Economics and Business,978-1502444585,2
3491,Ekonomi publik,Henry Faizal Noor,Indeks,2013    ,Economics and Business,978-9790611412,11
3492,Human capital,Gary Stanley Becker,University of Chicago,1964    ,Economics and Business,978-0226041209,7
3493,Supply chain management for dummies,Daniel Stanton,John Wiley & Sons,2017    ,Economics and Business,978-1119414490,15
3494,The compleat housewife,E. Smith,"Literary Licensing, LLC",1728    ,Economics and Business,978-0906324202,2
3495,Quarterlife crisis,Alexandra Robbins,TarcherPerigee,2001    ,Economics and Business,978-1585421060,20
3496,Selling the Invisible,Harry Beckwith,Business Plus,1997    ,Economics and Business,978-0446520942,19
3497,In Search of Respect,Philippe I. Bourgois,Cambridge University Press,1996    ,Economics and Business,978-0521017114,14
3498,What Got You Here Won't Get You There,Marshall Goldsmith,Hyperion,2007    ,Economics and Business,978-1401301309,8
3499,"The Collected Works of Dugald Stewart Esq., Frs",Dugald Stewart,Thoemmes Press,1829    ,Economics and Business,978-1142588823,18
3500,Global Macro Trading,Greg Gliner,Bloomberg Press,2014    ,Economics and Business,978-1118836217,16
3501,Commodity review and outlook.,FAO,FAO,,Economics and Business,978-9251036648,5
3502,Effective training,P. Nick Blanchard,Pearson,1998    ,Economics and Business,978-0132729840,16
3503,Engineering economics,James L. Riggs,McGraw-Hill Education,1977    ,Economics and Business,978-0070528666,4
3504,Silver Bay,Jojo Moyes,Hodder & Stoughton,2006    ,Economics and Business,978-0340896730,3
3505,The mom test,Rob Fitzpatrick,Management Help,2014    ,Economics and Business,978-1491272640,7
3506,Mastering Elliott wave,Glenn Neely,Windsor Books,1990    ,Economics and Business,978-0930233440,12
3507,Orations and speeches on various occasions,Edward Everett,American Stationers' Co,1836    ,Economics and Business,978-1425540302,17
3508,Age of Discontinuity,Peter F. Drucker,Harper & Row,1966    ,Economics and Business,978-1560006183,13
3509,Shopping and fucking,MARK RAVENHILL,Methuen Drama,1997    ,Economics and Business,978-0413716101,8
3510,"The world in depression, 1929-1939",Charles Poor Kindleberger,Univ. of California Press,1973    ,Economics and Business,978-0520055926,8
3511,How To Get Filthy Rich In Rising Asia,Mohsin Hamid,Riverhead Books,2013    ,Economics and Business,978-1594632334,18
3512,The freelancer's bible,Sara Horowitz,Workman Publishing,2012    ,Economics and Business,978-0761164883,11
3513,Democratizing innovation,Eric von Hippel,MIT Press,2005    ,Economics and Business,978-0262720458,8
3514,The rich and the super-rich,Ferdinand Lundberg,Lyle Stuart,1968    ,Economics and Business,978-0818404863,4
3515,Current Topics in Management,M. Afzalur Rahim,Transaction Publishers,2005    ,Economics and Business,978-1412805407,6
3516,Growth,Vaclav Smil,MIT Press,2019    ,Economics and Business,978-0262539418,3
3517,"Han, Chung, Il yongnae chikchŏp t'uja tonghyang kwa hwalsŏnghwa pangan",Hyŏng-gon Chŏng,Sŏgang Taehakkyo,2000    ,Economics and Business,nan,14
3518,Modern portfolio theory and investment analysis,Edwin J. Elton,John Wiley & Sons,1981    ,Economics and Business,978-1118469941,16
3519,The Economic Institutions of Capitalism,Oliver E. Williamson,Free Press,1985    ,Economics and Business,978-0029348215,15
3520,Employee engagement,Emma Bridger,Kogan Page,2014    ,Economics and Business,978-0749471385,6
3521,The constant gardener,John le Carré,Hodder & Stoughton,2000    ,Economics and Business,978-0743210058,4
3522,Open Borders,Bryan Caplan,First Second,2019    ,Economics and Business,978-1250317469,17
3523,Business logistics management,Ronald H. Ballou,Prentice Hall,1973    ,Economics and Business,978-0130661845,2
3524,Order without Design,Alain Bertaud,MIT Press,2018    ,Economics and Business,978-0262038768,16
3525,This business of music,M. William Krasilovsky,Billboard Books,1971    ,Economics and Business,978-0823077236,13
